,pos x,pos y
166,879.5157894736842,473.07368421052627
167,884.0,478.0105263157895
168,887.0,483.53333333333336
169,891.1770833333335,488.85416666666674
170,895.2371134020618,493.93814432989683
171,898.1764705882354,498.48235294117654
172,902.3333333333335,503.0
173,906.0689655172414,506.3448275862069
174,910.0561797752811,509.9775280898877
175,916.282608695652,513.391304347826
176,916.282608695652,513.391304347826
177,921.0952380952381,515.7261904761905
178,921.0952380952381,515.7261904761905
179,935.2857142857144,520.952380952381
180,941.6590909090908,523.1704545454545
181,946.125,525.8854166666667
182,952.032608695652,528.5434782608695
183,957.4431818181821,531.5681818181819
184,962.8172043010753,536.2258064516128
185,967.967741935484,538.3225806451612
186,972.4431818181821,542.159090909091
187,977.3829787234042,545.7872340425532
188,981.7613636363636,548.875
189,986.2021276595744,552.7446808510639
